750, 0.0572, 0.0619, 0.078 
850, 0.0743, 0.08, 0.0828
950, 0.081, 0.0845, 0.0912 
1050, 0.085, 0.0825, 0.082
1150, 0.0738, 0.0736, 0.0723
1250, 0.0668, 0.0658, 0.062
1350, 0.055, 0.0501, 0.0436
1450, 0.0396, 0.038, 0.034
1550, 0.0318, 0.0273, 0.0242
1650, 0.0224, 0.02, 0.018
1750, 0.0178, 0.014, 0.0102
1850, 0.0117, 0.01, 0.0075
1950, 0.0074, 0.0063, 0.006
