2.5, 1.0000, 0, 0.0315, 0
7.5, 0.9987, 0, 0.1340, 0
12.5, 0.9974, 0, 0.2576, 0
17.5, 0.9947, 0, 0.3982, 0
22.5, 0.9921, 0, 0.5256, 0
27.5, 0.9895, 0, 0.6281, 0
32.5, 0.9842, 0, 0.7162, 0
37.5, 0.9803, 0, 0.7884, 0
42.5, 0.9750, 0, 0.8410, 0
47.5, 0.9724, 0, 0.8778, 0
52.5, 0.9645, 0, 0.9054, 0
57.5, 0.9553, 0, 0.9264, 0
62.5, 0.9501, 0, 0.9422, 0
67.5, 0.9409, 0, 0.9533, 0
72.5, 0.9317, 0, 0.9654, 0
77.5, 0.9225, 0, 0.9724, 0
82.5, 0.9133, 0, 0.9777, 0
87.5, 0.9014, 0, 0.9816, 0
92.5, 0.8922, 0, 0.9842, 0
97.5, 0.8804, 0, 0.9869, 0
102.5, 0.8712, 0, 0.9895, 0
107.5, 0.8594, 0, 0.9908, 0
112.5, 0.8502, 0, 0.9915, 0
117.5, 0.8397, 0, 0.9927, 0
122.5, 0.8292, 0, 0.9934, 0
127.5, 0.8187, 0, 0.9947, 0
132.5, 0.8081, 0, 0.9961, 0
137.5, 0.7976, 0, 0.9961, 0
142.5, 0.7884, 0, 0.9961, 0
147.5, 0.7792, 0, 0.9961, 0
152.5, 0.7674, 0, 0.9961, 0
157.5, 0.7556, 0, 0.9961, 0
162.5, 0.7451, 0, 0.9974, 0
167.5, 0.7319, 0, 0.9974, 0
172.5, 0.7214, 0, 0.9974, 0
177.5, 0.7109, 0, 0.9974, 0
182.5, 0.7004, 0, 0.9974, 0
187.5, 0.6886, 0, 0.9974, 0
192.5, 0.6754, 0, 0.9974, 0
197.5, 0.6610, 0, 0.9974, 0
202.5, 0.6491, 0, 0.9974, 0
207.5, 0.6373, 0, 0.9974, 0
212.5, 0.6286, 0, 0.9974, 0
217.5, 0.6150, 0, 0.9974, 0
222.5, 0.6032, 0, 0.9974, 0
227.5, 0.5926, 0, 0.9987, 0
232.5, 0.5821, 0, 0.9987, 0
237.5, 0.5729, 0, 0.9987, 0
242.5, 0.5624, 0, 0.9987, 0
247.5, 0.5506, 0, 0.9987, 0
252.5, 0.5401, 0, 0.9987, 0
257.5, 0.5283, 0, 0.9987, 0
262.5, 0.5177, 0, 0.9987, 0
267.5, 0.5033, 0, 0.9987, 0
272.5, 0.4941, 0, 1.0000, 0
277.5, 0.4836, 0, 1.0000, 0
282.5, 0.4717, 0, 1.0000, 0
287.5, 0.4625, 0, 1.0000, 0
292.5, 0.4520, 0, 1.0000, 0
297.5, 0.4402, 0, 1.0000, 0
