-4.75, 0.0514739, 0
-3.75, 0.0426748, 0
-3.25, 0.041216, 0
-2.85, 0.030243, 0
-2.55, 0.0285147, 0
-2.25, 0.0255941, 0
-1.95, 0.0260986, 0
-1.75, 0.02794, 0
-1.4, 0.0264814, 0
-1.2, 0.025707, 0
-1, 0.0262937, 0
-0.75, 0.0254515, 0
-0.45, 0.0251609, 0
-0.15, 0.0258597, 0
0.15, 0.0258597, 0
0.45, 0.0251609, 0
0.75, 0.0254515, 0
1, 0.0262937, 0
1.2, 0.025707, 0
1.4, 0.0264814, 0
1.75, 0.02794, 0
1.95, 0.0260986, 0
2.25, 0.0255941, 0
2.55, 0.0285147, 0
2.85, 0.030243, 0
3.25, 0.041216, 0
3.75, 0.0426748, 0
4.75, 0.0514739, 0
