2.5, 0.06888013, 0.004966887, 0.04666973, 0
7.5, 0.1592423, 0.008245258, 0.1216455, 0
12.5, 0.1916601, 0.01020452, 0.1590119, 0
17.5, 0.167133, 0.007136526, 0.1620406, 0
22.5, 0.1366036, 0.006803748, 0.1388463, 0
27.5, 0.1012377, 0.005400847, 0.1120099, 0
32.5, 0.06116204, 0.002702483, 0.08093084, 0
37.5, 0.04312619, 0.002350633, 0.05841384, 0
42.5, 0.02546037, 0.001591708, 0.03872106, 0
47.5, 0.0146256, 0.00100925, 0.02572458, 0
52.5, 0.01031233, 0.00105806, 0.01731585, 0
57.5, 0.006914997, 0.0008825153, 0.01132239, 0
62.5, 0.003537932, 0.0002668616, 0.007181925, 0
67.5, 0.003270189, 0.0009925823, 0.005150028, 0
72.5, 0.001793766, 0.0002397968, 0.003667638, 0
77.5, 0.001021103, 0.0001204507, 0.002734754, 0
82.5, 0.0006085377, 3.140255e-05, 0.001495169, 0
87.5, 0.0006408245, 0.0001558111, 0.00131626, 0
92.5, 0.0005056665, 0.0001401738, 0.0008050912, 0
97.5, 0.0002831027, 2.229689e-05, 0.0007156367, 0
