-0.49, 0.0038, 0, 0.0008, 0, 0.0002, 0
-0.47, 0.0045, 0, 0, 0, 0.0006, 0
-0.45, 0.0053, 0, 0.0015, 0, 0.0005, 0
-0.43, 0.004, 0, 0.0012, 0, 0.0005, 0
-0.41, 0.005, 0, 0.0003, 0, 0.0008, 0
-0.39, 0.006, 0, 0.001, 0, 0.0002, 0
-0.37, 0.006, 0, 0.0015, 0, 0.0015, 0
-0.35, 0.007, 0, 0.0019, 0, 0.0005, 0
-0.33, 0.008, 0, 0.0028, 0, 0.0003, 0
-0.31, 0.009, 0, 0.003, 0, 0.0015, 0
-0.29, 0.011, 0, 0.0045, 0, 0.0016, 0
-0.27, 0.013, 0, 0.005, 0, 0.0026, 0
-0.25, 0.0162, 0, 0.007, 0, 0.0010, 0
-0.23, 0.016, 0, 0.012, 0, 0.0022, 0
-0.21, 0.022, 0, 0.013, 0, 0.0055, 0
-0.19, 0.024, 0, 0.022, 0, 0.010, 0
-0.17, 0.037, 0, 0.030, 0, 0.016, 0
-0.15, 0.043, 0, 0.037, 0, 0.017, 0
-0.13, 0.051, 0, 0.058, 0, 0.020, 0
-0.11, 0.070, 0, 0.083, 0, 0.028, 0
-0.09, 0.083, 0, 0.107, 0, 0.040, 0
-0.07, 0.102, 0, 0.150, 0, 0.061, 0
-0.05, 0.114, 0, 0.206, 0, 0.122, 0
-0.03, 0.132, 0, 0.246, 0, 0.230, 0
-0.01, 0.139, 0, 0.271, 0, 0.43, 0
0.01, 0.140, 0, 0.285, 0, 0.45, 0
0.03, 0.139, 0, 0.260, 0, 0.246, 0
0.05, 0.122, 0, 0.223, 0, 0.099, 0
0.07, 0.116, 0, 0.141, 0, 0.037, 0
0.09, 0.085, 0, 0.088, 0, 0.025, 0
0.11, 0.067, 0, 0.060, 0, 0.008, 0
0.13, 0.048, 0, 0.034, 0, 0.0045, 0
0.15, 0.035, 0, 0.023, 0, 0.003, 0
0.17, 0.027, 0, 0.013, 0, 0.004, 0
0.19, 0.020, 0, 0.009, 0, 0.0022, 0
0.21, 0.012, 0, 0.007, 0, 0.0012, 0
0.23, 0.011, 0, 0.006, 0, 0.002, 0
0.25, 0.009, 0, 0.005, 0, 0.0005, 0
0.27, 0.0085, 0, 0.003, 0, 0.0005, 0
0.29, 0.007, 0, 0.002, 0, 0.001, 0
0.31, 0.006, 0, 0.001, 0, 0.0002, 0
0.33, 0.0052, 0, 0.001, 0, 0.0006, 0
0.35, 0.0036, 0, 0.001, 0, 0.0006, 0
0.37, 0.002, 0, 0.0015, 0, 0.0008, 0
0.39, 0.0026, 0, 0.0007, 0, 0.0008, 0
0.41, 0.0023, 0, 0.0005, 0, 0.0002, 0
0.43, 0.0008, 0, 0.0004, 0, 0.0005, 0
0.45, 0.0010, 0, 0.0003, 0, 0.0005, 0
0.47, 0.0010, 0, 0.00015, 0, 0.0002, 0
0.49, 0.0005, 0, 0.0001, 0, 0.0001, 0
