10, 1, 0, 0, 0
30, 1, 0, 0.002, 0
50, 1, 0, 0.005, 0
70, 0.999, 0, 0.01, 0
90, 0.997, 0, 0.015, 0
110, 0.994, 0, 0.02, 0
130, 0.99, 0, 0.04, 0
150, 0.98, 0, 0.06, 0
170, 0.97, 0, 0.13, 0
190, 0.96, 0, 0.2, 0
210, 0.94, 0, 0.28, 0
230, 0.91, 0, 0.37, 0
250, 0.87, 0, 0.5, 0
270, 0.85, 0, 0.58, 0
290, 0.81, 0, 0.64, 0
310, 0.76, 0, 0.7 , 0
330, 0.7, 0, 0.77, 0
350, 0.66, 0, 0.82, 0
370, 0.6, 0, 0.88, 0
390, 0.54, 0, 0.92, 0
410, 0.49, 0, 0.93, 0
430, 0.43, 0, 0.94, 0
450, 0.38, 0, 0.955, 0
470, 0.34, 0, 0.96, 0
490, 0.28, 0, 0.965, 0
510, 0.25, 0, 0.9725, 0
530, 0.22, 0, 0.9785, 0
550, 0.18, 0, 0.98, 0
570, 0.15, 0, 0.9815, 0
590, 0.13, 0, 0.9830, 0
610, 0.11, 0, 0.9845, 0
630, 0.1, 0, 0.986, 0
650, 0.08, 0, 0.987, 0
670, 0.07, 0, 0.988, 0
690, 0.06, 0, 0.989, 0
710, 0.052, 0, 0.99, 0
730, 0.046, 0, 0.991, 0
750, 0.04, 0, 0.992, 0
770, 0.037, 0, 0.993, 0
790, 0.034, 0, 0.994, 0
810, 0.03, 0, 0.995, 0
830, 0.028, 0, 0.996, 0
850, 0.02, 0, 0.997, 0
870, 0.016, 0, 0.998, 0
890, 0.01, 0, 0.999, 0
910, 0.008, 0, 1, 0
930, 0.005, 0, 1, 0
950, 0.002, 0, 1, 0
970, 0.001, 0, 1, 0
990, 0, 0, 1, 0
